season,match_no,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2019/20,17th,Cumilla Warriors,160/3,Dhaka Platoon,161/5,Mahedi Hasan,Dhaka Platoon,field first,Platoon,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 23 2019,5,0,5 wickets,Gazi Sohel,Prageeth Rambukwella
2019/20,18th,Khulna Tigers,145/9,Rajshahi Royals,149/3,Andre Russell,Rajshahi Royals,field first,Royals,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 23 2019,7,0,7 wickets,David Millns,Morshed Ali Khan
2016/17,5th,Khulna Titans,44,Rangpur Riders,45/1,Shahid Afridi,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 10 2016,9,0,9 wickets,Mahfuzur Rahman,Ranmore Martinesz
2016/17,7th,Dhaka Dynamites,138/5,Rajshahi Kings,139/4,Samit Patel,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2016,6,0,6 wickets,Khalid Mahmood,Masudur Rahman
2016/17,8th,Khulna Titans,127/7,Chittagong Vikings,123/9,Mahmudullah,Chittagong Vikings,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2016,0,4,4 runs,Mahfuzur Rahman,Ranmore Martinesz
2016/17,9th,Dhaka Dynamites,170/6,Rangpur Riders,92,Mosaddek Hossain,Rangpur Riders,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 12 2016,0,78,78 runs,Khalid Mahmood,Nadir Shah
2016/17,6th,Comilla Victorians,129/8,Barisal Bulls,130/4,Thisara Perera,Comilla Victorians,bat first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,Nov 11 2016,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
2012/13,3rd,Duronto Rajshahi,99/9,Chittagong Kings,97,Sean Ervine,Duronto Rajshahi,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 19 2013,0,2,2 runs,Jeremy Lloyds,Mahfuzur Rahman
2012/13,4th,Dhaka Gladiators,202/5,Rangpur Riders,167/4,Mohammad Ashraful,Dhaka Gladiators,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 19 2013,0,35,35 runs,Amit Kumar,Mehedi Maruf
2012/13,1st,Dhaka Gladiators,204/4,Khulna Royal Bengals,142/8,Owais Shah,Dhaka Gladiators,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 18 2013,0,62,62 runs,Masudur Rahman,Richard Illingworth
2012/13,8th,Dhaka Gladiators,156/8,Duronto Rajshahi,143/3,Shakib Al Hasan,Dhaka Gladiators,bat first,Dhaka,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 22 2013,0,13,13 runs,Gazi Sohel,Masudur Rahman
2012/13,6th,Duronto Rajshahi,147/8,Sylhet Royals,150/6,Elton Chigumbura,Duronto Rajshahi,bat first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 20 2013,4,0,4 wickets,Jeremy Lloyds,Tanvir Ahmed
2012/13,5th,Khulna Royal Bengals,142/8,Barisal Burners,146/2,Brad Hodge,Khulna Royal Bengals,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 20 2013,8,0,8 wickets,Anisur Rahman,Richard Illingworth
2012/13,10th,Khulna Royal Bengals,145/7,Sylhet Royals,146/4,Hamilton Masakadza,Khulna Royal Bengals,bat first,Royals,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 23 2013,6,0,6 wickets,Anisur Rahman,Mahfuzur Rahman
2012/13,7th,Chittagong Kings,132/5,Rangpur Riders,135/4,Nasir Hossain,Chittagong Kings,bat first,Riders,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 22 2013,6,0,6 wickets,Anisur Rahman,Richard Illingworth
2012/13,11th,Chittagong Kings,129/7,Barisal Burners,108/9,Ravi Bopara,Barisal Burners,field first,Chittagong,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 24 2013,0,21,21 runs,Gazi Sohel,Richard Illingworth
2012/13,9th,Rangpur Riders,174/4,Barisal Burners,167/8,Shamsur Rahman,Rangpur Riders,bat first,Riders,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 23 2013,0,7,7 runs,Mahfuzur Rahman,Richard Illingworth
2012/13,2nd,Sylhet Royals,175/7,Barisal Burners,142/9,Paul Stirling,Barisal Burners,field first,Royals,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 18 2013,0,33,33 runs,Bishawnath Halder,Jubair Ahmed
2012/13,13th,Dhaka Gladiators,152/8,Sylhet Royals,157/3,Mushfiqur Rahim,Dhaka Gladiators,bat first,Royals,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 25 2013,7,0,7 wickets,Mahfuzur Rahman,Richard Illingworth
2012/13,12th,Khulna Royal Bengals,197/0,Duronto Rajshahi,129,Shahriar Nafees,Duronto Rajshahi,field first,Khulna,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 24 2013,0,68,68 runs,Anisur Rahman,Tanvir Ahmed
2012/13,14th,Khulna Royal Bengals,150/7,Rangpur Riders,141/7,Daniel Harris,Khulna Royal Bengals,bat first,Khulna,"Sheikh Abu Naser Stadium, Khulna",Khulna,Jan 25 2013,0,9,9 runs,Mahfuzur Rahman,Masudur Rahman
2012/13,16th,Duronto Rajshahi,213/6,Barisal Burners,209/7,Charles Coventry,Duronto Rajshahi,bat first,Rajshahi,"MA Aziz Stadium, Chittagong",Chittagong,Jan 28 2013,0,4,4 runs,Anisur Rahman,Gazi Sohel
2012/13,19th,Rangpur Riders,122,Sylhet Royals,126/5,Nazmul Hossain Milon,Sylhet Royals,field first,Royals,"MA Aziz Stadium, Chittagong",Chittagong,Jan 31 2013,5,0,5 wickets,Jeremy Lloyds,Tanvir Ahmed
2012/13,15th,Chittagong Kings,172/6,Sylhet Royals,176/7,Mohammad Nabi,Sylhet Royals,field first,Royals,"MA Aziz Stadium, Chittagong",Chittagong,Jan 28 2013,3,0,3 wickets,Jeremy Lloyds,Tanvir Ahmed
2012/13,17th,Dhaka Gladiators,158/5,Sylhet Royals,127/8,Darren Stevens,Sylhet Royals,field first,Dhaka,"MA Aziz Stadium, Chittagong",Chittagong,Jan 29 2013,0,31,31 runs,Jeremy Lloyds,Masudur Rahman
